Packet Size	Topology 1	Topology 2	Topology 3
64	0.6245397194861242	0.989198455432494	0.9783336389281201
128	0.8267474190892509	0.9411116115922796	0.9284865263487463
256	0.8236443858696922	0.9954148376720655	0.9754164284593181
512	0.8215385028708151	0.9587618066794404	0.9798777270615628
768	0.8209179011136585	0.977223338855605	0.9621658896967369
1024	0.8428580996314334	0.9769258243049098	0.9607673970792586
1536	0.8404580770077841	0.9665761663645089	0.9659080768994341
2048	0.7880801447044155	0.9557905039254851	0.9060997309982965
3072	0.8328223630415509	0.9897384643885153	0.9905303928483671
4000	0.8551952159081929	0.968867574913984	0.9805203536780214




